iter	Passed	Remaining
580	3337	2406
581	3342	2400
582	3348	2395
583	3354	2389
584	3360	2383
585	3365	2377
586	3371	2371
587	3376	2366
588	3382	2360
589	3388	2354
590	3394	2348
591	3399	2342
592	3405	2337
593	3411	2331
594	3417	2325
595	3423	2320
596	3428	2314
597	3434	2308
598	3439	2302
599	3446	2297
600	3451	2291
601	3457	2285
602	3462	2279
603	3468	2273
604	3473	2268
605	3479	2262
606	3485	2256
607	3490	2250
608	3496	2244
609	3502	2239
610	3507	2233
611	3513	2227
612	3519	2222
613	3525	2216
614	3531	2211
615	3537	2205
616	3543	2199
617	3548	2193
618	3554	2187
619	3560	2182
620	3566	2176
621	3572	2170
622	3577	2164
623	3582	2158
624	3588	2152
625	3594	2147
626	3600	2141
627	3605	2135
628	3611	2130
629	3617	2124
630	3622	2118
631	3628	2112
632	3634	2107
633	3639	2101
634	3645	2095
635	3651	2089
636	3657	2084
637	3663	2078
638	3668	2072
639	3674	2067
640	3680	2061
641	3686	2055
642	3692	2050
643	3698	2044
644	3703	2038
645	3709	2032
646	3714	2026
647	3720	2021
648	3726	2015
649	3731	2009
650	3737	2003
651	3743	1998
652	3750	1992
653	3755	1987
654	3761	1981
655	3767	1975
656	3772	1969
657	3778	1963
658	3784	1958
659	3789	1952
660	3795	1946
661	3801	1940
662	3806	1935
663	3812	1929
664	3818	1923
665	3824	1918
666	3830	1912
667	3836	1906
668	3842	1900
669	3847	1895
670	3853	1889
671	3859	1883
672	3865	1878
673	3870	1872
674	3876	1866
675	3882	1860
676	3888	1855
677	3894	1849
678	3900	1844
679	3906	1838
680	3912	1832
681	3918	1826
682	3923	1821
683	3929	1815
684	3934	1809
685	3940	1803
686	3946	1797
687	3951	1792
688	3957	1786
689	3963	1780
690	3969	1775
691	3975	1769
692	3980	1763
693	3986	1757
694	3992	1751
695	3998	1746
696	4003	1740
697	4009	1734
698	4015	1729
699	4021	1723
700	4026	1717
701	4032	1711
702	4038	1706
703	4044	1700
704	4050	1694
705	4056	1689
706	4062	1683
707	4067	1677
708	4073	1671
709	4078	1665
710	4084	1660
711	4090	1654
712	4095	1648
713	4101	1642
714	4107	1637
715	4113	1631
716	4119	1625
717	4124	1620
718	4130	1614
719	4136	1608
720	4141	1602
721	4147	1596
722	4153	1591
723	4158	1585
724	4164	1579
725	4170	1573
726	4175	1568
727	4181	1562
728	4187	1556
729	4193	1551
730	4199	1545
731	4205	1539
732	4210	1533
733	4217	1528
734	4222	1522
735	4228	1516
736	4234	1510
737	4239	1505
738	4245	1499
739	4251	1493
740	4256	1487
741	4263	1482
742	4269	1476
743	4274	1470
744	4280	1464
745	4285	1459
746	4291	1453
747	4297	1447
748	4303	1442
749	4308	1436
750	4314	1430
751	4320	1424
752	4326	1419
753	4332	1413
754	4337	1407
755	4344	1402
756	4349	1396
757	4355	1390
758	4361	1384
759	4366	1378
760	4372	1373
761	4377	1367
762	4384	1361
763	4389	1356
764	4395	1350
765	4400	1344
766	4405	1338
767	4411	1332
768	4417	1326
769	4422	1321
770	4428	1315
771	4433	1309
772	4440	1303
773	4445	1298
774	4451	1292
775	4457	1286
776	4463	1280
777	4469	1275
778	4475	1269
779	4481	1264
780	4488	1258
781	4493	1252
782	4499	1246
783	4505	1241
784	4511	1235
785	4516	1229
786	4522	1224
787	4528	1218
788	4534	1212
789	4539	1206
790	4545	1200
791	4551	1195
792	4557	1189
793	4562	1183
794	4568	1177
795	4574	1172
796	4579	1166
797	4585	1160
798	4591	1155
799	4597	1149
800	4602	1143
801	4608	1137
802	4613	1131
803	4619	1126
804	4625	1120
805	4631	1114
806	4637	1109
807	4643	1103
808	4648	1097
809	4654	1091
810	4660	1086
811	4665	1080
812	4671	1074
813	4677	1068
814	4682	1062
815	4688	1057
816	4693	1051
817	4699	1045
818	4705	1039
819	4711	1034
820	4716	1028
821	4722	1022
822	4727	1016
823	4733	1011
824	4739	1005
825	4745	999
826	4750	993
827	4756	988
828	4762	982
829	4768	976
830	4774	971
831	4779	965
832	4785	959
833	4791	953
834	4797	948
835	4803	942
836	4809	936
837	4814	930
838	4820	925
839	4826	919
840	4832	913
841	4837	907
842	4844	902
843	4849	896
844	4855	890
845	4861	884
846	4867	879
847	4873	873
848	4878	867
849	4884	862
850	4890	856
851	4896	850
852	4902	844
853	4907	839
854	4913	833
855	4919	827
856	4925	821
857	4931	816
858	4937	810
859	4943	804
860	4948	798
861	4954	793
862	4960	787
863	4966	781
864	4972	776
865	4978	770
866	4983	764
867	4989	758
868	4995	752
869	5001	747
870	5006	741
871	5012	735
872	5017	729
873	5023	724
874	5029	718
875	5035	712
876	5041	707
877	5047	701
878	5053	695
879	5058	689
880	5064	684
881	5070	678
882	5075	672
883	5081	666
884	5087	661
885	5093	655
886	5098	649
887	5104	643
888	5109	638
889	5115	632
890	5121	626
891	5126	620
892	5132	615
893	5138	609
894	5144	603
895	5149	597
896	5155	591
897	5160	586
898	5166	580
899	5172	574
900	5178	568
901	5183	563
902	5189	557
903	5195	551
904	5201	545
905	5207	540
906	5212	534
907	5218	528
908	5223	522
909	5229	517
910	5234	511
911	5239	505
912	5245	499
913	5252	494
914	5257	488
915	5263	482
916	5268	476
917	5274	471
918	5279	465
919	5285	459
920	5291	453
921	5296	448
922	5302	442
923	5308	436
924	5313	430
925	5319	425
926	5325	419
927	5331	413
928	5337	407
929	5343	402
930	5349	396
931	5355	390
932	5361	384
933	5366	379
934	5372	373
935	5377	367
936	5383	361
937	5388	356
938	5394	350
939	5400	344
940	5405	338
941	5411	333
942	5417	327
943	5423	321
944	5429	315
945	5435	310
946	5440	304
947	5447	298
948	5453	293
949	5459	287
950	5464	281
951	5470	275
952	5476	270
953	5482	264
954	5487	258
955	5493	252
956	5498	247
957	5504	241
958	5509	235
959	5515	229
960	5521	224
961	5526	218
962	5532	212
963	5538	206
964	5544	201
965	5549	195
966	5555	189
967	5561	183
968	5567	178
969	5572	172
970	5578	166
971	5583	160
972	5589	155
973	5595	149
974	5600	143
975	5606	137
976	5612	132
977	5618	126
978	5624	120
979	5629	114
980	5635	109
981	5641	103
982	5647	97
983	5653	91
984	5658	86
985	5664	80
986	5670	74
987	5675	68
988	5680	63
989	5686	57
990	5692	51
991	5698	45
992	5704	40
993	5710	34
994	5715	28
995	5721	22
996	5726	17
997	5731	11
998	5737	5
999	5743	0
